User logged in on |11/3/2017,8:51,login
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,15:53,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,15:55,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,15:57,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,15:59,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,16:0,flight,listing
User booked a Flight from the city of San Joseto the city of Los Angeles|11/3/2017,16:0,flight,buying
User queried hotel listing for the city of undefined|11/3/2017,16:2,hotel,listing
User queried hotel listing for the city of undefined|11/3/2017,16:4,hotel,listing
User queried hotel listing for the city of undefined|11/3/2017,16:6,hotel,listing
User queried hotel listing for the city of undefined|11/3/2017,16:10,hotel,listing
User queried hotel listing for the city of undefined|11/3/2017,16:12,hotel,listing
User queried hotel listing for the city of undefined|11/3/2017,16:15,hotel,listing
User queried hotel listing for the city of undefined|11/3/2017,16:16,hotel,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,16:19,flight,listing
User queried hotel listing for the city of undefined|11/3/2017,16:19,hotel,listing
User queried hotel listing for the city of undefined|11/3/2017,16:23,hotel,listing
User queried car listing from the city of  on |11/3/2017,16:27,car,listing
User queried car listing from the city of New York on |11/3/2017,16:27,car,listing
User queried car listing from the city of New York on |11/3/2017,16:27,car,listing
User queried car listing from the city of New York on |11/3/2017,16:38,car,listing
User queried hotel listing for the city of undefined|11/3/2017,16:40,hotel,listing
User queried hotel listing for the city of undefined|11/3/2017,16:42,hotel,listing
User queried hotel listing for the city of undefined|11/3/2017,16:42,hotel,listing
User queried hotel listing for the city of undefined|11/3/2017,16:45,hotel,listing
User queried hotel listing for the city of undefined|11/3/2017,16:48,hotel,listing
User queried hotel listing for the city of undefined|11/3/2017,16:55,hotel,listing
User queried hotel listing for the city of undefined|11/3/2017,16:57,hotel,listing
User queried hotel listing for the city of undefined|11/3/2017,16:59,hotel,listing
User queried hotel listing for the city of undefined|11/3/2017,17:0,hotel,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,17:5,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,17:9,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,17:14,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,17:16,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,17:17,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,17:23,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,17:23,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,17:28,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,17:30,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,17:32,flight,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,17:33,flight,listing
User queried car listing from the city of  on |11/3/2017,17:35,car,listing
User queried car listing from the city of New York on |11/3/2017,17:35,car,listing
User queried hotel listing for the city of undefined|11/3/2017,17:35,hotel,listing
User queried hotel listing for the city of undefined|11/3/2017,17:38,hotel,listing
User queried hotel listing for the city of undefined|11/3/2017,17:38,hotel,listing
User queried hotel listing for the city of undefined|11/3/2017,17:39,hotel,listing
User queried hotel listing for the city of undefined|11/3/2017,17:40,hotel,listing
User queried hotel listing for the city of undefined|11/3/2017,17:40,hotel,listing
User queried flight listing from the city of undefined to the city of undefined|11/3/2017,17:42,flight,listing
